"FeHab";"Atroph";"es";"ogp";"ml";"Repro";"HabSp";"ReproB";"PC";"avg_fecun";"female_mat";"WQO2";"Temp";"HTOL";"Hab";"be";"Mig";"bls";"pfp";"pfs";"pfsi";"cpt";"cfar";"fsr";"rfs"
"B";"OMNI";0.397435897435897;0.576923076923077;0.193730769230769;"PHLI";"EUPAR";"SIN";"NOP";"4";"3";"O2TOL";"EUTHER";"HTOL";"EURY";2.58718309331936;"POTAD";0.417105607931424;0.255423709780057;1.35159669727488;0.184131820070234;3.22895866083188;2.8127587046506;0.205502800097395;0.109445676464807
"B";"INSV";0.373917767290259;0;0.23189488337351;"LITH";"RHPAR";"SIN";"NOP";"3";"4";"O2IM";"EUTHER";"HIM";"RH";6.96377453049885;"POTAD";0.401108553841125;0;NA;0.155158083712889;4.73279063124822;2.12645006217728;NA;NA
"WC";"PLAN";0.540985823712392;0.540985823712392;0.441100168443313;"PHLI";"EUPAR";"FR";"NOP";"2";"2";"O2IM";"EUTHER";"HTOL";"EURY";4.2535268548008;"RESID";0.429576460521938;0.183132364669656;0.392368449412533;0.152191702066102;1.94232183808576;1.47680788998371;0.249511400651466;0.100632156140878
"B";"OMNI";0.210539107063718;0.496171019838263;0.326590325332266;"LITH";"LIPAR";"SIN";"PROT";"2";"2";"O2TOL";"EUTHER";"HTOL";"LIMNO";4.10148913043478;"RESID";0.570236413043478;0.389497282608696;1.03584361323989;0.157155274992911;2.21360041077002;1.65961734380989;0.223592541654454;0.195412623314115
"B";"OMNI";0.268012890636549;0.419743961209828;0.503887886940839;"SPEL";"LIPAR";"SIN";"PROT";"2";"2";"O2TOL";"EUTHER";"HTOL";"LIMNO";3.96963856120112;"RESID";0.490174197849338;0.347816005333179;0.813272149664666;0.153249389404665;1.8393105283387;1.39441849072239;0.255179246982526;0.184320083472286
"B";"INSV-PISC";0.249665422272311;0.61872226526731;0.39494259350567;"PELA";"LIPAR";"SIN";"NOP";"4";"3";"O2TOL";"EUTHER";"HTOL";"EURY";16.2191429018066;"LONG-LMC";0.63409187342281;0.604546774157529;1.80502226847291;0.0446675304326035;NA;NA;NA;0.0124838732867498
"B";"INSV";0.30066;0;NA;"LITH";"EUPAR";"FR";"NOP";"3";"2";"O2IM";"EUTHER";"HIM";"RH";6.72416116426358;"RESID";0.673763643713785;0;0;0.144789579158317;1.75481132075472;1.16044137711296;0.366648779178964;0.275095400341176
"B";"INSV";0.237872340425532;0;0.29863829787234;"LITH";"RHPAR";"FR";"NOP";"3";"3";"O2IM";"EUTHER";"HINTOL";"RH";4.06837239658634;"POTAD";0.388291764083838;0.239724725923845;0.628347976865672;0.15566110533498;2.30462080397845;2.08426467413648;0.225779275484414;0.122048638971101
"B";"OMNI";0.503950374412997;0.301846681050895;0.331276177179845;"PHLI";"EUPAR";"PRO";"NOP";"3";"2";"O2TOL";"EUTHER";"HTOL";"EURY";2.48581540362901;"RESID";0.354092466715353;0.196618167518679;0.645756457564576;0.178802259887006;2.9994906525307;2.69807897545358;0.202454642475987;0.143037733232152
"B";"OMNI";0.27027027027027;0.3965;0.254972972972973;"PHYT";"LIPAR";"FR";"NOP";"4";"2";"O2TOL";"EUTHER";"HTOL";"LIMNO";2.64599545565871;"RESID";0.396870089403032;0.169840733530338;0.401224663273471;0.175272226572502;2.0161629059628;1.72610128858256;0.16853461192688;0.188390706070191
"B";"OMNI";0.324293647898172;0.487197157025687;0.27856824354453;"PHYT";"LIPAR";"FR";"NOP";"4";"3";"O2TOL";"EUTHER";"HTOL";"LIMNO";2.08119204615702;"RESID";0.381243560684113;0.18037296517618;0.638864093798854;0.1856431048438;1.63890300403527;1.51354264078037;0.241535556954059;0.125776741958874
"B";"OMNI";0.459804789754868;0.51819269956501;0.441120658615623;"PHYT";"LIPAR";"FR";"NOP";"4";"2";"O2TOL";"EUTHER";"HTOL";"EURY";2.4383149417388;"RESID";0.422883903531063;0.169752737134286;0.338737371223809;0.194932843103955;2.10263247863248;1.97094822067348;0.290829877620733;0.154849799378011
"B";"HERB";0.363636363636364;0.419763636363636;0.313872727272727;"LITH";"RHPAR";"SIN";"NOP";"3";"2";"O2IM";"EUTHER";"HINTOL";"RH";3.95940852641758;"POTAD";0.418782788788804;0.167688242863561;0.27938509735023;0.155780469652943;2.31372549019608;2.52429296591733;0.314720812182741;0.106189053982463
"B";"INSV";0.286353167415755;0;NA;"PHYT";"EUPAR";"FR";"NOP";"1";"3";"O2IM";"EUTHER";"HIM";"RH";6.7501211175109;"RESID";0.802443882219949;0.161490014534101;0.0764150943396226;0.114149461310877;1.99900049975012;1.10702702702703;0.286486486486487;0.227039653669523
"B";"INSV";0.402236592113596;0.57522249258358;0.490233658878037;"SPEL";"RHPAR";"SIN";"PROT";"1";"2";"O2INTOL";"STTHER";"HINTOL";"RH";5.98702622676182;"RESID";0.779231573410908;0.48700349993182;0.182422571752878;0.229832324678423;2.69927759756413;0.931028567611336;1.56047570850202;0.356318258881592
"B";"OMNI";0.182045454545455;0.36985;0.346172727272727;"PHYT";"LIPAR";"SIN";"NOP";"4";"4";"O2TOL";"EUTHER";"HTOL";"EURY";3.48113527283064;"RESID";0.481047809592531;0.196792285742399;0.375800315486685;0.178656382200252;2.63714523797853;3.51357494556931;0.261641175042486;0.142747287128962
"WC";"PISC";0.279515059299405;0.509571891818603;1.38748931330197;"PHYT";"LIPAR";"SIN";"NOP";"3";"3";"O2IM";"EUTHER";"HTOL";"EURY";6.77538151570977;"POTAD";0.673753952183026;0.091350618900443;0.0506487415976239;0.102102069486229;3.02069793592407;2.06307745146189;0.233501241057089;0.128460903212983
"WC";"INSV";0.580510957144316;0.731013797885435;0.32214595550491;"VIVI";"LIPAR";"PRO";"PROT";"1";"1";"O2TOL";"EUTHER";"HTOL";"LIMNO";4.27537529265941;"RESID";0.557004963982683;0.413339880121914;0.400285856938844;0.203100698108755;1.8749246682053;1.22512761746015;0.330701114699448;0.401712172201464
